title,url,date_range,start_date,end_date,image_url,categories,main_category,site_name,info,site_domain,site_type,scraped_date,detail_title,subtitle,detail_content,summary,venue,address,phone,price,detail_images,image_count,keywords,view_count
"예술가의 종말, 인공지능은 인간을 넘어서는가? / 사진으로 바라보기: 중간적 관찰자의 시선",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2636?menuCd=NS_PRO_CAL,2025-06-24 ~ 2025-08-20,2025-06-24,2025-08-20,https://inmun360.culture.go.kr/b2bc/file/download/45271,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,032-872-2622,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2636', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
선을 넘는 고전산책,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2565?menuCd=NS_PRO_CAL,2025-06-11 ~ 2025-08-20,2025-06-11,2025-08-20,https://inmun360.culture.go.kr/b2bc/file/download/44391,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,063-859-7561,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2565', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
현대의 거울로 본 고전 - 고전문학의 현대적 재해석 읽기,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2427?menuCd=NS_PRO_CAL,2025-06-18 ~ 2025-08-20,2025-06-18,2025-08-20,https://inmun360.culture.go.kr/b2bc/file/download/40581,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,031-8075-9240,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2427', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
한국 근대문학에서 발견하는 인간다움,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2893?menuCd=NS_PRO_CAL,2025-07-07 ~ 2025-08-21,2025-07-07,2025-08-21,https://inmun360.culture.go.kr/b2bc/file/download/47337,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,02-565-6666,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2893', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"'모던뽀이 모던걸' 이상부터 한강까지, 한국문학 100년",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2667?menuCd=NS_PRO_CAL,2025-05-21 ~ 2025-08-21,2025-05-21,2025-08-21,https://inmun360.culture.go.kr/b2bc/file/download/44581,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,02-2230-2965,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2667', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
무라카미 하루키의 “재즈 에세이”와 함께 떠나는 인문학 재즈 여행,https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2587?menuCd=NS_PRO_CAL,2025-06-12 ~ 2025-08-21,2025-06-12,2025-08-21,https://inmun360.culture.go.kr/b2bc/file/download/44361,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,043-856-0168,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2587', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
고전에서 배우는 삶의 지혜(고전에서 길을 찾다),https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2402?menuCd=NS_PRO_CAL,2025-05-22 ~ 2025-08-21,2025-05-22,2025-08-21,https://inmun360.culture.go.kr/b2bc/file/download/40503,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,031-5182-1108,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2402', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
조명크루 입문 (경상권),https://hrd.arko.or.kr/course/active/detail.do?courseActiveSeq=4426&courseMasterSeq=633,2025-08-20 ~ 2025-08-21,2025-08-20,2025-08-21,https://hrd.arko.or.kr/storage/image/temp/2025/06/26/Tpe50IdPBhvkm8fwfI82.jpg,"['교육', '문화예술 내 일']",교육,문화예술 내 일,,hrd.arko.or.kr,문화예술 내 일,2025-08-17 12:49:09,,,"교육신청 과정상세 조명크루 입문 (경상권) 즐겨찾기 좋아요 공유하기 URL 복사 페이스북 트위터 신청기간 2025-07-01~2025-07-25 교육기간 2025-08-20~2025-08-21 교육시간 14시간 교육장소 동서대학교 소향씨어터 교육일수 2일 교 육 비 20,000 원 수강정원 제한없음
									(신청인원 62 명) 온라인교육에 대한 기수, 수강신청기간, 학습기간, 미리보기,신청하기에 대한 내용을 확인 할 수 있는 표입니다. 기수 수강신청기간 학습기간 미리보기 신청하기 1기 2025-07-01~2025-07-25 2025-08-20~2025-08-21 신청마감 종료 학습 보기 (종료된학습)과정의 기수, 수강신청기간, 학습기간, 미리보기, 신청하기에 대한 내용을	확인할 수 있는 표입니다 기수 수강신청기간 학습기간 미리보기 신청하기 교육내용 뒤로가기",,동서대학교 소향씨어터,,02-760-4656,무료,"['https://thearts.arko.or.kr/static/new/images/newmain/Taegeukgi.png', 'https://thearts.arko.or.kr/static/new/images/newmain/new-main-logo.png', 'https://thearts.arko.or.kr/static/new/images/newmain/new-main-logo.png', 'https://thearts.arko.or.kr/static/new/images/newmain/facebook-icon.png', 'https://thearts.arko.or.kr/static/new/images/newmain/insta-icon.png']",17,,
자연 속 '소확행'과 일상에서 발견하는 '지혜',https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2698?menuCd=NS_PRO_CAL,2025-05-31 ~ 2025-08-23,2025-05-31,2025-08-23,https://inmun360.culture.go.kr/b2bc/file/download/48012,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,신청/정원(명),확인하기,053-320-5150,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2698', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
"하늘의 그림책, 별자리 : 인류의 이야기보따리",https://inmun360.culture.go.kr/b2bc/com/pro/calDetail/2562?menuCd=NS_PRO_CAL,2025-06-07 ~ 2025-08-23,2025-06-07,2025-08-23,https://inmun360.culture.go.kr/b2bc/file/download/41730,"['교육', '인문네트워크']",교육,인문네트워크,,inmun360.culture.go.kr,인문네트워크,2025-08-17 12:49:09,인문네트워크,,,,"청주기적의도서관 1층 다목적홀, 천체투영관",확인하기,043-283-1845,,"['https://thearts.arko.or.kr/b2bc/assets/images/header_flag.svg', 'https://thearts.arko.or.kr/b2bc/assets/images/head_ico_nuri.svg', 'https://thearts.arko.or.kr/b2bc/com/src/pro/image/2562', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo01.png', 'https://thearts.arko.or.kr/b2bc/assets/images/user/footer_sitelogo02.png']",7,,
